prati1,1948-2023,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
אאוגן,5,..,-,-,..,-,-,..,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אאורל,10,-,..,..,..,..,-,-,..,..,-,-,..,-,-,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אב,20,..,..,-,-,..,-,..,-,-,-,-,-,-,-,-,-,..,..,-,-,..,-,-,-,-,-,-,-,-,-,..,-,-,-,..,-,-,..,-,-,-,-,-,..,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,..,-,-,..,-,-,..,-,-,..,-,-,-,-,-,-,-
אבא,283,14,20,11,..,11,..,10,5,8,7,5,..,5,..,-,5,..,5,..,..,6,..,..,..,..,..,..,..,..,..,-,..,..,..,..,-,..,..,..,..,..,..,8,..,..,-,..,..,..,..,5,..,7,..,..,6,..,..,..,..,..,..,6,..,..,..,..,..,..,..,..,..,..,..,..,5
אבאו,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,..,-,-,-,-,-,-,-,-,-,..,-,-,-,-,..,..,-,-,-,..,..,-,..,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אבאי,47,..,..,-,..,..,..,-,..,..,-,-,..,..,-,..,..,..,..,..,-,..,..,..,..,-,..,..,-,..,-,..,..,-,..,..,-,..,..,..,..,-,..,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,..,-,-,-,-,-,-
אבאיינך,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,..,-,-,-,-,-,-,-,..,..,-,-,-,-,-,-,..,..,-,..,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-
אבאינך,10,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,..,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,..,-,..,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אבאל,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,..,-,-,..,-,..,-,-,..,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-
אבבאו,110,-,..,-,..,..,..,-,-,..,-,-,-,..,-,..,-,-,..,..,-,..,..,..,..,..,-,..,..,..,..,..,..,..,..,..,..,7,5,..,..,..,..,..,..,6,-,..,..,-,..,..,..,..,7,..,..,..,..,..,-,..,..,-,-,-,-,-,-,..,..,-,-,-,-,-,-
אבבה,288,..,..,..,..,-,-,..,..,..,..,..,..,..,..,..,..,5,5,5,..,10,..,..,6,8,11,8,12,10,8,..,7,9,7,10,9,7,..,9,11,..,8,9,7,6,..,..,..,-,..,5,9,5,..,6,5,..,..,..,..,-,..,..,-,-,..,-,-,-,-,-,-,..,-,-,-
אבבהו,7,-,-,-,-,..,-,-,-,-,-,-,-,-,..,-,..,-,..,-,-,-,-,-,-,-,..,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אבבו,15,-,-,-,-,-,-,..,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,..,-,-,-,..,..,-,-,-,..,-,-,-,-,..,..,..,-,..,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-
אבג'ה,50,-,-,-,-,..,-,..,-,..,..,..,..,-,-,..,-,..,..,-,..,-,..,..,..,-,-,..,..,..,-,..,..,..,..,..,-,..,..,..,..,-,-,..,..,..,-,..,..,..,..,..,-,-,..,..,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אבגני,116,..,..,-,5,5,..,..,..,..,..,..,..,..,..,5,..,..,..,..,..,..,..,..,5,6,..,..,..,..,..,..,..,..,..,..,..,..,..,-,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אבה,17,..,..,..,..,-,..,..,-,-,-,..,-,..,-,-,-,-,..,-,..,-,-,-,-,..,-,-,..,-,-,-,-,-,-,-,-,-,..,-,-,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אבו,45,..,..,-,..,-,..,..,..,-,..,-,-,..,..,..,..,..,-,..,-,..,..,..,-,..,..,..,..,..,-,-,-,..,-,..,-,-,..,-,-,-,-,-,..,-,-,..,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-
אבוהאי,20,..,..,..,..,..,-,..,-,-,..,-,-,..,..,-,..,-,..,-,-,-,..,..,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,..,..,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אבוהאיי,5,-,-,-,-,-,-,-,..,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,..,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אבוהי,9,-,-,-,-,-,-,-,..,..,-,..,..,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אבוהיי,11,-,-,-,-,-,..,-,-,-,..,-,-,-,-,..,-,-,-,-,..,..,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,..,..,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אבוו,7,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,..,..,-,-,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אבוחי,16,-,-,..,-,..,-,..,..,-,-,..,..,..,..,-,-,-,-,-,-,-,..,..,-,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אבוט,6,-,-,..,..,-,-,-,..,-,-,-,-,..,-,..,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אבולי,5,-,-,-,-,-,-,-,-,-,-,..,..,-,-,-,-,..,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אבוש,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,..,-,-,-,..,-,-,..,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אבטה,36,-,-,-,..,-,-,-,-,..,-,..,-,-,-,-,..,..,-,-,..,..,-,..,..,..,..,..,..,..,-,-,-,..,..,..,..,-,..,-,-,-,..,-,-,-,-,-,..,-,-,-,..,..,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אבטליון,28,..,-,-,..,-,-,..,-,..,..,..,..,-,-,-,-,-,..,..,-,..,-,-,..,-,-,-,-,-,-,-,-,..,-,..,-,-,-,..,-,..,-,-,..,..,-,-,..,..,-,-,-,-,-,-,-,..,-,-,-,..,..,..,-,..,-,-,-,-,-,-,-,..,-,-,-
אבטמו,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,..,..,-,-,..,-,-,-,..,-,-,..,-,-,-,-,-,-,..,-,..,-,-,..,..,..,-,-,-,..,-,-,-,-,-,-,-
אבטנדיל,34,-,..,..,-,-,..,-,-,..,-,-,..,-,..,..,..,..,..,..,..,..,..,..,..,-,..,-,-,..,..,-,..,-,-,-,-,-,..,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אבי,"11,532",93,119,110,181,165,130,160,173,188,161,157,192,180,158,165,169,173,231,255,255,273,302,346,372,356,368,381,382,385,365,335,361,312,292,297,296,252,252,210,189,192,148,132,141,125,102,97,106,88,82,74,54,46,44,36,31,30,22,22,28,21,21,16,16,11,12,17,13,10,12,5,..,13,10,6,5
אבי-אברהם,33,-,..,-,-,-,-,-,-,-,-,..,-,-,-,..,-,..,-,-,-,-,-,-,-,-,-,-,-,5,7,5,-,-,-,..,-,-,..,..,..,-,-,..,-,-,-,-,-,-,-,-,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אבי-אל,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,..,..,..,-,-,-,-,..,..,-,-,-,-,-,-,..,-,-,-,..,-,-,-,-,-,-,-
אבי-חי,18,-,-,-,..,-,-,..,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,..,..,-,..,-,-,..,..,..,-,-,-,-,..,-,-,-,-,..,-,-,..,-,-,-,..,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,..,-,-,-
אבי-עד,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,..,-,-,-,-,-,-,-,..,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,..,-,-,-,..,..,-,..,-,-,-,-,..,..,-,-,..,-,..,-,-,-,-,-,-,-,-,-,-,-
אבי-רם,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,..,-,-,..,-,-,..,-,-,..,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אבי-רן,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,..,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
אבי-שי,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
