שם יישוב,סך הכל אוכלוסייה 2021
ירושלים,966209.0
תל אביב -יפו,467875.0
חיפה,282831.0
ראשון לציון,257129.0
פתח תקווה,252270.0
אשדוד,225974.0
נתניה,224066.0
בני ברק,212395.0
באר שבע,211249.0
חולון,197464.0
רמת גן,169706.0
אשקלון,149160.0
רחובות,147878.0
בית שמש,141765.0
בת ים,126291.0
הרצלייה,103320.0
כפר סבא,101801.0
חדרה,100630.0
מודיעין-מכבים-רעות*,97097.0
לוד,82629.0
מודיעין עילית,80997.0
רעננה,78561.0
נצרת,77925.0
רמלה,77798.0
רהט,76238.0
ראש העין,71651.0
הוד השרון,65363.0
ביתר עילית,63220.0
גבעתיים,61280.0
נהרייה,60807.0
קריית גת,60581.0
קריית אתא,60101.0
עפולה,59076.0
אום אל-פחם,57676.0
יבנה,53595.0
אילת,52753.0
נס ציונה,50456.0
עכו,49615.0
אלעד,49593.0
רמת השרון,47969.0
טבריה,46698.0
קריית מוצקין,46565.0
כרמיאל,46311.0
טייבה,45387.0
פרדס חנה-כרכור,44210.0
קריית ביאליק,43268.0
שפרעם,43023.0
נוף הגליל,42659.0
נתיבות,42039.0
קריית אונו,41900.0
קריית ים,39442.0
מעלה אדומים,37555.0
צפת,37473.0
אור יהודה,36814.0
דימונה,35893.0
טמרה,35406.0
אופקים,33999.0
סח'נין,32744.0
באקה אל-גרביה,30973.0
יהוד-מונוסון,30618.0
שדרות,30553.0
גדרה,30393.0
באר יעקב,29852.0
גבעת שמואל,28162.0
כפר יונה,27897.0
ערד,27582.0
טירה,27392.0
חריש,27007.0
טירת כרמל,26806.0
עראבה,26641.0
מגדל העמק,26029.0
ערערה,25823.0
קריית מלאכי,25021.0
מבשרת ציון,24943.0
כפר קאסם,24756.0
גן יבנה,24251.0
יקנעם עילית,24158.0
חורה,23942.0
קלנסווה,23877.0
זכרון יעקב,23858.0
נשר,23759.0
כפר כנא,23706.0
מגאר,23625.0
כסיפה,23219.0
קדימה-צורן,22919.0
גני תקווה,22694.0
קריית שמונה,22336.0
מעלות-תרשיחא,22314.0
תל שבע,22187.0
ג'דיידה-מכר,21508.0
שוהם,21441.0
כפר מנדא,21073.0
גבעת זאב,20034.0
אור עקיבא,19904.0
כפר קרע,19691.0
ערערה-בנגב,19681.0
אריאל,19647.0
יפיע,19537.0
ריינה,19266.0
בית שאן,18900.0
קריית טבעון,18520.0
דאלית אל-כרמל,18061.0
ירכא,17574.0
בנימינה-גבעת עדה*,16074.0
מעלה עירון,15642.0
מג'ד אל-כרום,15630.0
מזכרת בתיה,15424.0
ג'סר א-זרקא,15315.0
לקיה,15294.0
אכסאל,15146.0
טורעאן,14655.0
כאבול,14474.0
אבו סנאן,14455.0
אבן יהודה,14267.0
תל מונד,14179.0
עין מאהל,13748.0
רכסים,13736.0
אעבלין,13693.0
פוריידיס,13571.0
נחף,13558.0
אזור,13473.0
דייר אל-אסד,12934.0
עספיא,12746.0
ג'ת,12473.0
בית ג'ן,12307.0
צור הדסה,11929.0
שגב-שלום,11865.0
אפרת,11804.0
מג'דל שמס,11404.0
קריית עקרון,11051.0
ירוחם,11031.0
דבורייה,10782.0
דייר חנא,10599.0
מיתר,10566.0
"בסמ""ה",10497.0
ג'לג'וליה,10480.0
עתלית,10474.0
כפר יאסיף,10324.0
בועיינה-נוג'ידאת,10137.0
ביר אל-מכסור,9960.0
חצור הגלילית,9763.0
קרני שומרון,9662.0
כוכב יעקב,9524.0
אורנית,9113.0
כסרא-סמיע,9108.0
כוכב יאיר,8950.0
משהד,8655.0
עילוט,8653.0
בענה,8537.0
זרזיר,8412.0
רמת ישי,8070.0
בסמת טבעון,8069.0
אלפי מנשה,7967.0
אבו גוש,7881.0
ראמה,7789.0
עומר,7656.0
בית דגן,7643.0
קצרין,7606.0
קריית ארבע,7498.0
שעב,7381.0
זמר,7360.0
פרדסייה,7252.0
שלומי,7055.0
טובא-זנגרייה,7011.0
להבים,6977.0
"בני עי""ש",6895.0
צור יצחק,6855.0
יאנוח-ג'ת,6851.0
"כפר חב""ד",6797.0
בוקעאתא,6752.0
ג'ולס,6657.0
חורפיש,6581.0
קריית יערים,6471.0
אל סייד,6288.0
שבלי - אום אל-גנם,6279.0
ביר הדאג',6167.0
שערי תקווה,6124.0
פקיעין (בוקייעה),6025.0
גבע בנימין,5857.0
עיילבון,5812.0
קיסריה,5782.0
כעביה-טבאש-חג'אג'רה,5732.0
בית אל,5682.0
כפר ורדים,5531.0
בית אריה-עופרים,5409.0
בת חפר,5241.0
מצפה רמון,5179.0
טלמון,5141.0
כפר אדומים,4927.0
שילה,4783.0
אום בטין,4705.0
עלי,4613.0
קדומים,4590.0
יבנאל,4447.0
כפר תבור,4426.0
סאג'ור,4425.0
עמנואל,4372.0
תקוע,4315.0
עלי זהב,4279.0
יד בנימין,4271.0
מוקייבלה,4261.0
הר אדר,4107.0
מזרעה,4078.0
אלקנה,4071.0
סביון*,4051.0
כפר ברא,3856.0
מסעדה,3812.0
כאוכב אבו אל-היג'א,3723.0
עין נקובא,3680.0
מתן,3631.0
כפר כמא,3479.0
סלמה,3478.0
אליכין,3461.0
עוזייר,3432.0
מעיליא,3267.0
צור משה,3264.0
ראש פינה,3236.0
פסוטה,3236.0
ג'ש (גוש חלב),3153.0
ברכה,3062.0
אלון שבות,3061.0
עפרה,3025.0
שייח' דנון,2983.0
קציר,2934.0
רבבה,2908.0
אבטין,2900.0
כפר מצר,2805.0
נוקדים,2764.0
ע'ג'ר,2745.0
קצר א-סר,2731.0
גבעת ברנר,2694.0
מבוא חורון,2694.0
גני מודיעין,2688.0
גן נר,2672.0
סולם,2661.0
ניצן,2660.0
חשמונאים,2646.0
מצפה יריחו,2638.0
נעלה,2608.0
כפר האורנים,2607.0
מרכז שפירא,2589.0
אלעזר,2561.0
נופית,2550.0
עץ אפרים,2518.0
כוכב השחר,2515.0
צופים,2489.0
יקיר,2485.0
שמשית,2481.0
אחוזת ברק,2426.0
נאעורה,2393.0
נווה דניאל,2360.0
אבו תלול,2330.0
לפיד,2322.0
אבן שמואל,2279.0
תפרח,2231.0
אבני חפץ,2223.0
ברקת,2192.0
עין קנייא,2172.0
בית חשמונאי,2166.0
רומת הייב,2154.0
סעוה,2149.0
בית יצחק-שער חפר,2144.0
ברוכין,2129.0
שתולים,2121.0
גבעת אבני,2098.0
פדואל,2098.0
הושעיה,2092.0
מייסר,2084.0
נוף איילון,2081.0
